,grayscale,type
538,[[0.01020527 0.00869667 0.00807548 ... 0.00301721 0.00283973 0.0025735 ]],Type_2
539,[[0.00107744 0.00215488 0.00107744 ... 0.00107744 0.00226263 0.00301684]],Type_2
540,"[[8.59238688e-05 8.59238688e-05 1.71847738e-04 ... 1.71847738e-04
  8.59238688e-05 8.59238688e-05]]",Type_2
541,"[[0.00000000e+00 8.59774329e-05 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 8.59774329e-05]]",Type_2
542,[[0.00032472 0.0004059  0.00032472 ... 0.01039104 0.01022868 0.01006632]],Type_2
543,[[0.01462202 0.01456135 0.01498605 ... 0.00200218 0.00254824 0.0021842 ]],Type_2
544,[[0.00031506 0.00021004 0.00063013 ... 0.00651132 0.00651132 0.00682638]],Type_2
545,[[0.00360983 0.00496352 0.00740016 ... 0.0064977  0.0053245  0.00676843]],Type_2
546,[[0.00062184 0.00071068 0.00133252 ... 0.00524126 0.00461941 0.00310922]],Type_2
547,[[0.01689955 0.01760697 0.01815719 ... 0.00196506 0.00157205 0.00133624]],Type_2
548,[[0.         0.00045769 0.         ... 0.0007323  0.00091538 0.00036615]],Type_2
549,[[0.00518421 0.00543108 0.00555452 ... 0.00691229 0.00728259 0.00728259]],Type_2
550,[[0.00106936 0.00197421 0.00345487 ... 0.01373721 0.01505335 0.01661627]],Type_2
551,[[0.00256166 0.00324477 0.00298861 ... 0.00256166 0.00239089 0.00196394]],Type_2
552,[[0.00398357 0.00365161 0.00622433 ... 0.00829911 0.00796715 0.00688826]],Type_2
553,"[[1.68613960e-04 8.43069800e-05 1.68613960e-04 ... 1.34891168e-03
  7.58762820e-04 4.21534900e-04]]",Type_2
554,"[[0.00000000e+00 9.45569845e-05 9.45569845e-05 ... 9.45569845e-05
  9.45569845e-05 9.45569845e-05]]",Type_2
555,"[[7.40089249e-04 1.72687491e-03 3.37151769e-03 ... 7.40089249e-04
  8.22321388e-05 0.00000000e+00]]",Type_2
556,[[0.00023625 0.0001575  0.000315   ... 0.000315   0.00039375 0.0001575 ]],Type_2
557,[[0.00090268 0.00082746 0.00067701 ... 0.00992953 0.00977908 0.01053132]],Type_2
558,[[0.01028424 0.01079845 0.01011283 ... 0.02519638 0.02519638 0.02519638]],Type_2
559,[[0.         0.00010035 0.         ... 0.         0.         0.        ]],Type_2
560,[[0.01153374 0.01203961 0.01274782 ... 0.00252933 0.00252933 0.00212464]],Type_2
561,[[0.00396664 0.00594995 0.00727217 ... 0.01704185 0.01755604 0.01748258]],Type_2
562,[[0.         0.         0.         ... 0.00020665 0.00010332 0.00010332]],Type_2
563,[[0.01000306 0.00883083 0.007346   ... 0.0033604  0.00281336 0.00289151]],Type_2
564,[[0.00018071 0.00045179 0.00018071 ... 0.00045179 0.00045179 0.00018071]],Type_2
565,[[0.00882659 0.01150131 0.01524592 ... 0.         0.         0.        ]],Type_2
566,"[[1.68032645e-03 4.15659700e-03 4.68722640e-03 ... 1.76876468e-04
  2.65314702e-04 8.84382340e-05]]",Type_2
567,[[0.00917761 0.00929998 0.00917761 ... 0.00899406 0.00868814 0.00856577]],Type_2
568,[[0.00027867 0.00018578 0.00018578 ... 0.00046444 0.00018578 0.00018578]],Type_2
569,[[0.02057836 0.02077434 0.02028438 ... 0.00362571 0.00333173 0.00264579]],Type_2
570,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 9.86647021e-05]]",Type_2
571,"[[0.00000000e+00 9.92065542e-05 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
572,[[0.0002345  0.0002345  0.00035176 ... 0.00011725 0.0002345  0.00011725]],Type_2
573,[[0.00411167 0.00370857 0.00249925 ... 0.01169005 0.01048073 0.01031949]],Type_2
574,[[0. 0. 0. ... 0. 0. 0.]],Type_2
575,[[0. 0. 0. ... 0. 0. 0.]],Type_2
576,[[0.01425736 0.01294418 0.01575813 ... 0.00140698 0.00065659 0.00084419]],Type_2
577,[[0.0008326  0.00066608 0.00066608 ... 0.00233129 0.00174847 0.00124891]],Type_2
578,[[0. 0. 0. ... 0. 0. 0.]],Type_2
579,[[0.00737121 0.008129   0.00923123 ... 0.00151558 0.00055112 0.00055112]],Type_2
580,[[0. 0. 0. ... 0. 0. 0.]],Type_2
581,"[[1.80654704e-04 1.80654704e-04 1.80654704e-04 ... 9.03273521e-05
  0.00000000e+00 0.00000000e+00]]",Type_2
582,[[0.00441852 0.00441852 0.00433962 ... 0.0034717  0.00291938 0.00236707]],Type_2
583,[[0. 0. 0. ... 0. 0. 0.]],Type_2
584,[[0.01006561 0.00983942 0.00972632 ... 0.0033929  0.00294052 0.00226194]],Type_2
585,[[0.00890424 0.00995656 0.01092793 ... 0.00372359 0.00348075 0.00267127]],Type_2
586,[[0.00980948 0.00980948 0.00989785 ... 0.00494893 0.00468381 0.0050373 ]],Type_2
587,[[0.00900494 0.00933845 0.0087548  ... 0.01000549 0.00933845 0.01000549]],Type_2
588,[[0.00346382 0.00285765 0.00233808 ... 0.00623487 0.00614828 0.0056287 ]],Type_2
589,[[0. 0. 0. ... 0. 0. 0.]],Type_2
590,[[0.01499626 0.01327695 0.01222625 ... 0.01289488 0.01279936 0.01127108]],Type_2
591,[[0.00848668 0.00824873 0.00785216 ... 0.00864531 0.0080901  0.00761422]],Type_2
592,[[0.00496677 0.00481851 0.00452199 ... 0.00682004 0.00659765 0.00704244]],Type_2
593,[[0. 0. 0. ... 0. 0. 0.]],Type_2
594,"[[9.48143683e-05 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
595,[[0.01588902 0.01588902 0.01605453 ... 0.00959962 0.00877206 0.00827553]],Type_2
596,[[0.00509736 0.00654001 0.00788648 ... 0.00105794 0.00067324 0.00076941]],Type_2
597,[[0.00445195 0.00476994 0.00445195 ... 0.00047699 0.00063599 0.00063599]],Type_2
598,"[[1.69497804e-04 8.47489019e-05 0.00000000e+00 ... 8.47489019e-05
  8.47489019e-05 0.00000000e+00]]",Type_2
599,[[0. 0. 0. ... 0. 0. 0.]],Type_2
600,[[0.00742202 0.01004687 0.01185712 ... 0.         0.         0.        ]],Type_2
601,"[[9.14611211e-05 9.14611211e-05 1.82922242e-04 ... 1.82922242e-04
  9.14611211e-05 0.00000000e+00]]",Type_2
602,[[0.         0.00022294 0.00011147 ... 0.         0.         0.        ]],Type_2
603,[[0.00948874 0.00988084 0.01042978 ... 0.00156839 0.00101945 0.00070577]],Type_2
604,"[[9.08592139e-05 9.08592139e-05 9.08592139e-05 ... 9.08592139e-05
  0.00000000e+00 9.08592139e-05]]",Type_2
605,[[0.00411698 0.00400571 0.00344936 ... 0.00144651 0.00077889 0.00077889]],Type_2
606,[[0.01124707 0.01115488 0.01078612 ... 0.01004861 0.01244552 0.01585652]],Type_2
607,[[0.0080831  0.0080831  0.0086311  ... 0.01267265 0.01267265 0.01233015]],Type_2
608,[[0.00010298 0.00010298 0.00010298 ... 0.         0.         0.        ]],Type_2
609,[[0.00055765 0.00046471 0.00037177 ... 0.01329062 0.00975884 0.00334589]],Type_2
610,[[0.00423202 0.0039781  0.00457058 ... 0.00981828 0.01311926 0.01862088]],Type_2
611,[[0.00010566 0.00021132 0.00010566 ... 0.         0.00010566 0.00010566]],Type_2
612,[[0.01097214 0.01112041 0.01104627 ... 0.00919287 0.01023078 0.01260313]],Type_2
613,[[0.00162656 0.00108437 0.00075906 ... 0.00487967 0.00509655 0.0055303 ]],Type_2
614,[[0.0042691  0.0048141  0.00445077 ... 0.00381494 0.00336078 0.00263413]],Type_2
615,[[0.00181161 0.00230569 0.00370557 ... 0.0050231  0.0041173  0.00370557]],Type_2
616,[[0.00446692 0.00490271 0.00370427 ... 0.00468481 0.00631905 0.00403112]],Type_2
617,"[[0.00000000e+00 9.07787063e-05 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
618,"[[3.48527727e-04 8.71319317e-05 1.74263863e-04 ... 2.61395795e-04
  8.71319317e-05 1.74263863e-04]]",Type_2
619,[[0.00994882 0.009783   0.009783   ... 0.00812487 0.00787615 0.00754452]],Type_2
620,"[[0.00000000e+00 8.82836883e-05 8.82836883e-05 ... 0.00000000e+00
  8.82836883e-05 0.00000000e+00]]",Type_2
621,[[0.         0.00010628 0.         ... 0.         0.         0.        ]],Type_2
622,[[0.00782237 0.00673088 0.00654896 ... 0.00200107 0.00254682 0.00245586]],Type_2
623,"[[7.18365688e-05 0.00000000e+00 7.18365688e-05 ... 7.18365688e-05
  0.00000000e+00 0.00000000e+00]]",Type_2
624,[[0.01117725 0.0108579  0.01075145 ... 0.0068128  0.0061741  0.00670635]],Type_2
625,[[0. 0. 0. ... 0. 0. 0.]],Type_2
626,[[0.00031041 0.00051736 0.00020694 ... 0.00020694 0.00041389 0.00031041]],Type_2
627,[[0.00046591 0.00159739 0.0025292  ... 0.00831974 0.0096509  0.00951778]],Type_2
628,"[[9.44067020e-05 9.44067020e-05 1.88813404e-04 ... 9.44067020e-05
  0.00000000e+00 0.00000000e+00]]",Type_2
629,[[0. 0. 0. ... 0. 0. 0.]],Type_2
630,[[0.00732822 0.0060029  0.0048335  ... 0.00569106 0.00436575 0.00288451]],Type_2
631,[[0.00896025 0.00905358 0.01008028 ... 0.00028001 0.00018667 0.00018667]],Type_2
632,"[[1.94551325e-04 9.72756626e-05 9.72756626e-05 ... 3.11282120e-03
  2.52916723e-03 2.23734024e-03]]",Type_2
633,[[0.0117024  0.0117024  0.01210593 ... 0.01283229 0.01242876 0.01250946]],Type_2
634,[[0.00746249 0.00746249 0.00756199 ... 0.004776   0.0046765  0.0032835 ]],Type_2
635,[[0.00058531 0.00039021 0.00068286 ... 0.0001951  0.0001951  0.        ]],Type_2
636,[[0.01315011 0.01342793 0.01333532 ... 0.00527856 0.00546378 0.00509335]],Type_2
637,[[0.00018543 0.         0.00018543 ... 0.00407935 0.00500648 0.0051919 ]],Type_2
638,[[0.00148499 0.00189748 0.00255748 ... 0.00461996 0.00536245 0.00577495]],Type_2
639,[[0.01005042 0.00950716 0.0095977  ... 0.00670028 0.00660974 0.00679083]],Type_2
640,"[[8.46142340e-05 1.69228468e-04 4.23071170e-04 ... 3.38456936e-04
  2.53842702e-04 1.69228468e-04]]",Type_2
641,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 8.71832464e-05]]",Type_2
642,[[0. 0. 0. ... 0. 0. 0.]],Type_2
643,[[0.00993471 0.01005298 0.00851547 ... 0.00662314 0.00567698 0.00662314]],Type_2
644,"[[0.0000000e+00 0.0000000e+00 8.8054739e-05 ... 0.0000000e+00
  0.0000000e+00 0.0000000e+00]]",Type_2
645,[[0.00010537 0.00031611 0.00021074 ... 0.         0.         0.        ]],Type_2
646,"[[2.78053331e-04 9.26844437e-05 1.85368887e-04 ... 0.00000000e+00
  2.78053331e-04 9.26844437e-05]]",Type_2
647,"[[9.49295025e-05 1.89859005e-04 2.84788507e-04 ... 2.84788507e-04
  9.49295025e-05 9.49295025e-05]]",Type_2
648,"[[0.00000000e+00 1.64697392e-04 0.00000000e+00 ... 8.23486961e-05
  0.00000000e+00 8.23486961e-05]]",Type_2
649,[[0.         0.00022504 0.00030005 ... 0.00015002 0.         0.        ]],Type_2
650,"[[0.00000000e+00 8.38576779e-05 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
651,[[0.01514552 0.01523206 0.01583788 ... 0.00588511 0.00441384 0.00735639]],Type_2
652,[[0.01013893 0.01139423 0.01158735 ... 0.00386245 0.00531087 0.00492462]],Type_2
653,[[0.00793301 0.00801652 0.00977013 ... 0.01427942 0.01503097 0.01093921]],Type_2
654,[[0.01687614 0.01651321 0.0167854  ... 0.00635123 0.00553465 0.00589757]],Type_2
655,[[0.00010795 0.         0.         ... 0.         0.         0.        ]],Type_2
656,[[0.00604044 0.00628206 0.00652368 ... 0.008215   0.00845662 0.00881904]],Type_2
657,"[[9.91689701e-05 9.91689701e-05 9.91689701e-05 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
658,"[[5.93765581e-03 5.93765581e-03 6.03342445e-03 ... 9.57686421e-05
  1.91537284e-04 9.57686421e-05]]",Type_2
659,[[0. 0. 0. ... 0. 0. 0.]],Type_2
660,[[0.0063198  0.0059687  0.00438875 ... 0.00895306 0.00825086 0.0066709 ]],Type_2
661,"[[2.39649904e-04 7.98833015e-05 1.59766603e-04 ... 0.00000000e+00
  1.59766603e-04 7.98833015e-05]]",Type_2
662,[[0. 0. 0. ... 0. 0. 0.]],Type_2
663,[[0.         0.         0.         ... 0.00010428 0.         0.00010428]],Type_2
664,[[0.0020744  0.00257226 0.00257226 ... 0.00647213 0.00696999 0.00489558]],Type_2
665,[[0.        0.        0.        ... 0.        0.        0.0001073]],Type_2
666,"[[1.50760791e-04 1.50760791e-04 2.26141186e-04 ... 7.53803955e-05
  7.53803955e-05 7.53803955e-05]]",Type_2
667,"[[1.67721419e-04 1.67721419e-04 1.67721419e-04 ... 8.38607097e-05
  8.38607097e-05 8.38607097e-05]]",Type_2
668,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 8.7649757e-05
  8.7649757e-05 0.0000000e+00]]",Type_2
669,[[0.00048519 0.00087333 0.00048519 ... 0.01174149 0.00795704 0.00795704]],Type_2
670,[[0.01242143 0.01418113 0.01459518 ... 0.00382994 0.00414048 0.0035194 ]],Type_2
671,"[[8.70601808e-05 2.61180542e-04 8.70601808e-05 ... 8.70601808e-05
  8.70601808e-05 8.70601808e-05]]",Type_2
672,[[0.01725522 0.01734107 0.01734107 ... 0.00635267 0.00652436 0.00600928]],Type_2
673,[[0. 0. 0. ... 0. 0. 0.]],Type_2
674,"[[0.00000000e+00 8.75641740e-05 0.00000000e+00 ... 1.75128348e-04
  0.00000000e+00 0.00000000e+00]]",Type_2
675,"[[8.06127570e-05 8.06127570e-05 8.06127570e-05 ... 3.06328477e-03
  2.33776995e-03 2.82144650e-03]]",Type_2
676,[[0.00862164 0.00831735 0.00831735 ... 0.00791162 0.0088245  0.01014311]],Type_2
677,[[0.01351803 0.01160298 0.01115238 ... 0.00315421 0.00168975 0.00349216]],Type_2
678,[[0.        0.0001152 0.        ... 0.        0.        0.0001152]],Type_2
679,[[0.        0.0001181 0.        ... 0.        0.        0.0001181]],Type_2
680,[[0.         0.         0.         ... 0.00011576 0.         0.        ]],Type_2
681,"[[2.70726911e-04 9.02423036e-05 1.80484607e-04 ... 9.02423036e-05
  2.70726911e-04 9.02423036e-05]]",Type_2
682,[[0.01267671 0.01294836 0.01258616 ... 0.00425575 0.00325973 0.00425575]],Type_2
683,"[[9.35929534e-04 1.19118304e-03 8.50845031e-05 ... 3.23321112e-03
  3.65863363e-03 3.74371814e-03]]",Type_2
684,"[[0.00000000e+00 2.38636403e-04 7.95454677e-05 ... 0.00000000e+00
  3.18181871e-04 0.00000000e+00]]",Type_2
685,[[0.00293623 0.00255979 0.0024845  ... 0.00399026 0.00331267 0.00263508]],Type_2
686,[[0.00943419 0.00832429 0.00841678 ... 0.01035912 0.00998915 0.00915672]],Type_2
687,[[0.00466499 0.00401026 0.00474683 ... 0.00384657 0.00360105 0.00171868]],Type_2
688,"[[6.86093152e-03 6.37086498e-03 6.66490490e-03 ... 3.92053230e-04
  9.80133074e-05 1.96026615e-04]]",Type_2
689,[[0.00036333 0.00090832 0.00145331 ... 0.01053652 0.0099007  0.00917404]],Type_2
690,[[0.00146495 0.00129261 0.00077556 ... 0.01042702 0.01232285 0.01439102]],Type_2
691,[[0.00047537 0.00114088 0.00161625 ... 0.00342265 0.00304236 0.00294728]],Type_2
692,"[[0.00000000e+00 9.07578938e-05 9.07578938e-05 ... 9.07578938e-05
  1.81515788e-04 1.81515788e-04]]",Type_2
693,[[0.00330079 0.0027985  0.0022962  ... 0.01076345 0.01026116 0.00983062]],Type_2
694,[[0.         0.00011149 0.         ... 0.00011149 0.         0.        ]],Type_2
695,[[0.01274475 0.01252627 0.01252627 ... 0.00822947 0.00844795 0.00822947]],Type_2
696,[[0.00803234 0.00755985 0.00661487 ... 0.01833263 0.01615918 0.01417472]],Type_2
697,[[0.01025047 0.01392812 0.01619731 ... 0.00508611 0.00485137 0.00594684]],Type_2
698,[[0.00450431 0.00487967 0.00525503 ... 0.00910247 0.00816407 0.00591191]],Type_2
699,"[[0.00000000e+00 9.23434915e-05 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
700,[[0.         0.         0.00016949 ... 0.0038136  0.00347461 0.00313563]],Type_2
701,[[0.01123706 0.01229053 0.01135411 ... 0.00924716 0.0086619  0.006672  ]],Type_2
702,"[[8.45726277e-05 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
703,[[0.00020551 0.         0.         ... 0.00010276 0.         0.        ]],Type_2
704,[[0.01468052 0.01518181 0.01468052 ... 0.00594382 0.00744768 0.00887993]],Type_2
705,"[[8.92504679e-05 8.92504679e-05 3.57001872e-04 ... 8.92504679e-05
  0.00000000e+00 0.00000000e+00]]",Type_2
706,[[0.00311301 0.0042305  0.00542782 ... 0.00606638 0.00710406 0.00566728]],Type_2
707,[[0.00078096 0.00111566 0.00089253 ... 0.00044627 0.0003347  0.0003347 ]],Type_2
708,[[0. 0. 0. ... 0. 0. 0.]],Type_2
709,[[0.00024725 0.00032967 0.00024725 ... 0.0009066  0.00107144 0.00131869]],Type_2
710,"[[5.05859795e-04 1.68619932e-04 1.68619932e-04 ... 8.43099658e-05
  2.52929897e-04 8.43099658e-05]]",Type_2
711,[[0.00730699 0.0071172  0.00730699 ... 0.00578866 0.00559887 0.00597845]],Type_2
712,"[[8.77058340e-05 8.77058340e-05 8.77058340e-05 ... 4.38529170e-04
  1.49099918e-03 1.49099918e-03]]",Type_2
713,[[0.01542743 0.01542743 0.01560893 ... 0.00317623 0.00290399 0.00199649]],Type_2
714,"[[9.87149463e-05 0.00000000e+00 9.87149463e-05 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
715,[[0.00470118 0.00486908 0.00512093 ... 0.00453328 0.00428143 0.00369378]],Type_2
716,[[0.00755328 0.00785541 0.00765399 ... 0.00312202 0.00322273 0.00251776]],Type_2
717,[[0.01212554 0.01204362 0.01196169 ... 0.00286753 0.00270367 0.00245788]],Type_2
718,"[[9.03252249e-05 9.03252249e-05 9.03252249e-05 ... 1.80650450e-04
  9.03252249e-05 9.03252249e-05]]",Type_2
719,[[0.01461941 0.01486861 0.01461941 ... 0.00697745 0.00730971 0.0078081 ]],Type_2
720,[[0.0091211  0.00896247 0.00999355 ... 0.00523472 0.00499678 0.00475884]],Type_2
721,[[0. 0. 0. ... 0. 0. 0.]],Type_2
722,[[0.00090175 0.00114768 0.00188547 ... 0.00639421 0.00532851 0.00524653]],Type_2
723,[[0.00260814 0.00323769 0.00395717 ... 0.00476659 0.0037773  0.00260814]],Type_2
724,"[[8.81207427e-05 0.00000000e+00 1.76241485e-04 ... 0.00000000e+00
  8.81207427e-05 0.00000000e+00]]",Type_2
725,"[[9.27420704e-05 0.00000000e+00 0.00000000e+00 ... 9.27420704e-05
  9.27420704e-05 0.00000000e+00]]",Type_2
726,[[0.01098955 0.01154834 0.01136207 ... 0.00232829 0.00232829 0.00214203]],Type_2
727,[[0.00067937 0.0012617  0.00155286 ... 0.00436741 0.0029116  0.00164991]],Type_2
728,[[0.00642246 0.00735325 0.00753941 ... 0.0040024  0.00372317 0.00335085]],Type_2
729,[[0.00272356 0.00312705 0.00383316 ... 0.01301256 0.01291169 0.01311343]],Type_2
730,[[0.00022397 0.00011199 0.         ... 0.00011199 0.00011199 0.        ]],Type_2
731,"[[1.63540131e-03 3.58230762e-03 5.06195642e-03 ... 7.78762527e-05
  2.33628758e-04 7.78762527e-05]]",Type_2
732,[[0.00956281 0.00948631 0.0090273  ... 0.00321311 0.0030601  0.0030601 ]],Type_2
733,[[0.01012237 0.00988697 0.01000467 ... 0.01224101 0.0118879  0.01129939]],Type_2
734,"[[1.70821967e-04 1.70821967e-04 2.56232950e-04 ... 1.70821967e-04
  8.54109833e-05 8.54109833e-05]]",Type_2
735,"[[9.36465024e-05 9.36465024e-05 9.36465024e-05 ... 0.00000000e+00
  0.00000000e+00 9.36465024e-05]]",Type_2
736,[[0.01190946 0.01182189 0.01199703 ... 0.00700556 0.00735584 0.00761855]],Type_2
737,[[0.00416952 0.00441478 0.00466005 ... 0.00359723 0.00400601 0.00400601]],Type_2
738,"[[1.80307278e-04 0.00000000e+00 9.01536389e-05 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
739,[[0. 0. 0. ... 0. 0. 0.]],Type_2
740,"[[1.39390402e-02 1.40256181e-02 1.40256181e-02 ... 2.59733668e-04
  0.00000000e+00 8.65778894e-05]]",Type_2
741,[[0.00465655 0.00465655 0.00490163 ... 0.024018   0.02426308 0.02438562]],Type_2
742,[[0.00352391 0.00159573 0.0011968  ... 0.01156908 0.01050526 0.00864356]],Type_2
743,[[0. 0. 0. ... 0. 0. 0.]],Type_2
744,[[0.00011191 0.         0.         ... 0.         0.         0.        ]],Type_2
745,[[0.00445451 0.00437202 0.00470198 ... 0.00173231 0.00082491 0.00041245]],Type_2
746,[[0.01222751 0.01261263 0.01261263 ... 0.0009628  0.0004814  0.00077024]],Type_2
747,[[0.00011929 0.         0.         ... 0.         0.         0.        ]],Type_2
748,[[0.01028242 0.01006129 0.01105636 ... 0.01238313 0.01183031 0.01227256]],Type_2
749,[[0. 0. 0. ... 0. 0. 0.]],Type_2
750,[[0.00139342 0.00155736 0.00172129 ... 0.00057376 0.00057376 0.00098359]],Type_2
751,[[0.00191965 0.00158579 0.00233696 ... 0.00041731 0.00058424 0.00158579]],Type_2
752,[[0. 0. 0. ... 0. 0. 0.]],Type_2
753,[[0.00085862 0.0007513  0.00107328 ... 0.00010733 0.         0.00010733]],Type_2
754,[[0.01035671 0.01082747 0.01145515 ... 0.01153361 0.01106285 0.01129823]],Type_2
755,"[[1.74027062e-04 1.74027062e-04 1.74027062e-04 ... 1.74027062e-04
  8.70135312e-05 1.74027062e-04]]",Type_2
756,[[0.0103431  0.01049086 0.01063862 ... 0.01196845 0.01182069 0.01182069]],Type_2
757,[[0.00630129 0.00671047 0.00785616 ... 0.0018822  0.0018822  0.0018822 ]],Type_2
758,[[0.00317784 0.0052964  0.00537206 ... 0.00272386 0.00242121 0.00166458]],Type_2
759,[[0.00174707 0.00294243 0.00257463 ... 0.0041378  0.00275853 0.00312634]],Type_2
760,[[0.00011802 0.00047206 0.00011802 ... 0.         0.00011802 0.        ]],Type_2
761,"[[9.51534222e-05 1.90306844e-04 2.85460267e-04 ... 0.00000000e+00
  9.51534222e-05 9.51534222e-05]]",Type_2
762,[[0.0006217  0.0006217  0.0006217  ... 0.00049736 0.00012434 0.00012434]],Type_2
763,[[0.01580706 0.01560177 0.01560177 ... 0.01693613 0.01395948 0.01077754]],Type_2
764,[[0.00016921 0.00025381 0.00050762 ... 0.00016921 0.00025381 0.00016921]],Type_2
765,[[0.00711951 0.00703162 0.00650425 ... 0.01019585 0.01133849 0.01063532]],Type_2
766,[[0.00039671 0.00039671 0.00029753 ... 0.00029753 0.00029753 0.00039671]],Type_2
767,"[[0.00000000e+00 8.77906122e-05 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_2
768,[[0.00523687 0.00486281 0.00458226 ... 0.00570445 0.00589148 0.00561093]],Type_2
769,[[0.00787948 0.0082888  0.00849346 ... 0.00378624 0.0029676  0.00337692]],Type_2
770,[[0.0002061  0.00010305 0.0002061  ... 0.00329767 0.00288546 0.00309156]],Type_2
771,[[0.00634496 0.00592196 0.00634496 ... 0.00363777 0.00329938 0.00355318]],Type_2
772,[[0.00178299 0.00257543 0.00217921 ... 0.00237732 0.00237732 0.00178299]],Type_2
773,"[[1.69761614e-04 8.48808071e-05 1.69761614e-04 ... 8.48808071e-05
  8.48808071e-05 0.00000000e+00]]",Type_2
774,[[0. 0. 0. ... 0. 0. 0.]],Type_2
775,[[0.00248183 0.00307747 0.00208473 ... 0.0066513  0.00446729 0.00238255]],Type_2
776,[[0.00983406 0.01047541 0.01068919 ... 0.00438257 0.00438257 0.00406189]],Type_2
777,[[0. 0. 0. ... 0. 0. 0.]],Type_2
778,"[[4.28698437e-04 2.57219062e-04 5.14438125e-04 ... 2.57219062e-04
  8.57396874e-05 2.57219062e-04]]",Type_2
779,[[0.01051881 0.01066096 0.01130061 ... 0.00120824 0.00113717 0.00156361]],Type_2
780,"[[1.03273009e-02 9.84320868e-03 9.84320868e-03 ... 0.00000000e+00
  8.06820384e-05 8.06820384e-05]]",Type_2
781,[[0.00864948 0.0092339  0.00853259 ... 0.01297422 0.01414306 0.01425995]],Type_2
782,[[0. 0. 0. ... 0. 0. 0.]],Type_2
783,[[0.01282984 0.01428389 0.01471155 ... 0.0137707  0.01334304 0.01248771]],Type_2
784,[[0. 0. 0. ... 0. 0. 0.]],Type_2
785,[[0.00756434 0.00730936 0.00679941 ... 0.00365468 0.0034847  0.00314472]],Type_2
786,[[0.00154437 0.00283134 0.00248815 ... 0.01209755 0.01141116 0.01072478]],Type_2
787,[[0.00451117 0.00415027 0.00378938 ... 0.00676675 0.00568407 0.00514273]],Type_2
788,[[0.00386518 0.0052707  0.00491932 ... 0.00339667 0.00257679 0.00245966]],Type_2
789,[[0. 0. 0. ... 0. 0. 0.]],Type_2
790,[[0.0012295  0.00201989 0.00228335 ... 0.00079039 0.00131732 0.0016686 ]],Type_2
791,[[0.01129532 0.01129532 0.01121039 ... 0.00416143 0.00305738 0.00348202]],Type_2
792,[[0.01243295 0.01011984 0.0107945  ... 0.002795   0.00212035 0.00154207]],Type_2
793,"[[1.64556389e-04 2.46834584e-04 8.22781945e-05 ... 2.46834584e-04
  0.00000000e+00 1.64556389e-04]]",Type_2
794,[[0. 0. 0. ... 0. 0. 0.]],Type_2
795,[[0.00079879 0.00106506 0.00115381 ... 0.00266264 0.00221887 0.00213011]],Type_2
796,[[0.00935576 0.00946583 0.00968596 ... 0.01034637 0.01067657 0.01166718]],Type_2
797,[[0.00258964 0.00276228 0.00345285 ... 0.00086321 0.00060425 0.00112218]],Type_2
798,[[0.00972642 0.01003037 0.010233   ... 0.01286724 0.0126646  0.0132725 ]],Type_2
799,"[[8.92479957e-05 8.92479957e-05 8.92479957e-05 ... 2.67743987e-04
  1.78495991e-04 2.67743987e-04]]",Type_2
800,[[0. 0. 0. ... 0. 0. 0.]],Type_2
801,[[0. 0. 0. ... 0. 0. 0.]],Type_2
802,[[0.00408432 0.0043628  0.00426998 ... 0.00881843 0.00891125 0.01011799]],Type_2
803,"[[1.29026387e-02 1.29026387e-02 1.27423575e-02 ... 1.60281227e-04
  2.40421840e-04 8.01406133e-05]]",Type_2
804,[[0.         0.00059526 0.00085037 ... 0.00731314 0.00756825 0.00731314]],Type_2
805,[[0.002061   0.00280296 0.00305028 ... 0.00997524 0.00915084 0.00840888]],Type_2
806,"[[9.50706553e-05 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  9.50706553e-05 0.00000000e+00]]",Type_2
807,[[0.00751787 0.00761811 0.00781858 ... 0.02255361 0.02255361 0.02245337]],Type_2
808,[[0.00886436 0.00852986 0.00844623 ... 0.00685734 0.00652283 0.00560295]],Type_2
809,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 0.0000000e+00
  0.0000000e+00 8.1794183e-05]]",Type_2
